name,output,flag,username,timestamp
Shruti,Hello Shruti!,,,2022-10-07 22:44:31.564743
/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/inp/tmpguo_xuq7.png,/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/output/tmpjshsfogx.json,,,2022-10-07 23:01:32.672490
/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/inp/tmpjpv3iogu.png,/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/output/tmprj42kdxj.json,,,2022-10-07 23:11:22.504265
/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/inp/tmp648ldn29.png,/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/output/tmp0g1wsei3.json,,,2022-10-07 23:11:24.470574
/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/inp/tmpdi9dw9l5.png,/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/output/tmpkoyyzzta.json,,,2022-10-07 23:11:30.425054
/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/inp/tmpijhvweta.png,/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/output/tmpxvw_vna0.json,,,2022-10-07 23:11:31.037050
/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/inp/tmp869nnmkg.png,/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/output/tmpsswauant.json,,,2022-10-07 23:11:31.240815
/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/inp_img/tmppz1bbzz4.png,/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/output/tmp_klmv4w4.json,,,2022-10-07 23:17:56.010072
/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/inp_img/tmpkqf53ey7.png,/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/output/tmpppmogy2h.json,,,2022-10-08 16:45:13.344780
/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/img/tmpf8jzr5hq.png,/mnt/d/MLOpsSchoolOfAI/Session4_DeploymentForDemos/emlo-deployement-for-demos-sess4/flagged/output/tmpmf2bpeiq.png,,,2022-10-08 16:50:47.962682
